,id,original_title,original_language,release_date,popularity,vote_average,vote_count,media_type,adult
12453,158876,,Chinese,,58.304,8.4,9,1,0
12454,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12455,117465,,Japanese,,62.392,10,4,1,0
12456,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12457,208891,,Japanese,,59.825,8.667,3,1,0
12458,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12459,82856,,English,,1108.646,8.488,8697,1,0
12460,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12461,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12462,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
12463,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,0,0
12464,849869,길복순,Korean,2/17/2023,33.985,6.9,39,0,0
12465,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,0,0
12466,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,0,0
12467,932430,Prom Pact,English,3/30/2023,85.403,8,10,0,0
12468,95558,,English,,64.625,8,8,1,0
12469,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
12470,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
