ttnamettker,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
lyna_com|lyna_com2000,4400000,3400000,451300,3000,1100
arigameplays|AriGameplays,19300000,2600000,444600,4500,915
tommyinnit|Tommy,11500000,1500000,432100,7600,1900
arigameplays|AriGameplays,19300000,2600000,444600,4500,915
tommyinnit|Tommy,11500000,1500000,432100,7600,1900
alexisomman|Alexis Omman,9200000,1600000,330000,5100,6500
samadhiza_|samadhiza,7400000,3700000,418300,2100,1800
joerauth_|Joe rauth,4900000,2900000,463000,1600,2900
danielarodrice|Daniela Rodrice,9900000,4200000,735700,1500,391
official_kep1er|Kep1er,3500000,1800000,395000,5500,2700
sucss.s|Açucena Guirra,9700000,2600000,468100,3000,1900
veydi_rush|veydi_rush,8000000,2900000,456800,2600,1800
davidsiwonchoi|최시원 • Siwon Choi,1900000,1300000,314300,8600,5600
livvy|Olivia Dunne,5100000,2700000,316000,4900,1800
catherineealicia|catheez,1300000,2300000,306400,5900,2200
bonjee|Bonjee,1800000,1800000,382900,2500,5900
tuckercomedy|Tucker Reynolds,2000000,1600000,225200,2900,12700
jennifer_aplicano|Jennifer Aplícano,1000000,2500000,248500,3700,5400
qonitcah|Qonitcah | Health Education,1400000,3100000,277500,4400,2000
carolcastromx|Carol Castro,9700000,3400000,564200,2400,508
vorostwins|vorostwins,2600000,2700000,344100,3800,2100
tiagodionisio|Tiago_Dionisio,5500000,2400000,227000,1100,8900
magic_daniell|Magic Daniell,9000000,4500000,503400,2000,427
3tl.team|3TL,1600000,4400000,380900,2700,493
nessaabarrett|Nessa Barrett,17900000,2800000,338200,3800,2000
saeemm2002|Samantha Ancheta,4100000,1800000,396900,4000,3600
nate.dawg.com|Nate dawg,230200,2400000,434500,3300,1900
larissagloor|𝗟𝗮𝗿𝗶𝘀𝘀𝗮 𝗚𝗹𝗼𝗼𝗿,2600000,2900000,489400,2400,1300
xshueur|ғᴇᴇʟɪɴɢ,256600,2400000,186000,0,11700
cleanpuppy|Chloe Cherry,1700000,3600000,617400,1700,612
tootymcnooty|TootyMcNooty,7300000,1500000,401100,2200,6400
miakhalifa|Mia K.,32500000,3700000,340300,3500,644
notraymodeli|Modeli,1900000,1800000,404300,2700,4300
axelwebber|Axel,4200000,2400000,544700,3400,522
baebyshaa|shalynne,324600,3000000,650300,1400,1200
momonatamada|Momona Tamada,3700000,2700000,489400,3300,473
nikkietutorials|nikkietutorials,5100000,4300000,536600,1200,987
spicyycam_|Spicy Cam,18200000,3500000,428100,3000,295
sa_ro01|sara💜,3400000,3300000,265900,4600,1100
byniaromero|Nia Romero,10400000,4000000,531100,2000,291
_vqsngi.03_|Ghét môn Toán =))),87700,2600000,367500,3300,1800
oblomoffrecipe|oblomoffrecipe,5300000,3000000,271800,1200,4800
yg_treasure_tiktok|yg_treasure_official,3500000,1700000,355300,4100,4200
luq_music|LUQ_MUSIC,165700,2000000,237000,5900,4300
bradtheboxer|Just brad,2000000,2500000,216700,3600,5300
ftedooda|🛄,23500,1200000,219400,2800,16400
kurtisconner|kurtis conner,1800000,2200000,465800,3100,1500
