S.no,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
50,jesus_nalgas,5000000,970100,6000,6000,5000000
51,Em,4400000,775200,9100,6700,4400000
52,Daniel LaBelle,5200000,816800,3800,8400,5200000
53,conangray,3900000,1100000,7000,4900,3900000
54,Xspencer,5200000,924300,5900,4000,5200000
55,うさっくま♡Movie,4300000,192000,1800,55900,4300000
56,𝙍𝙮𝙖𝙣𝘽𝙖𝙠𝙚𝙧𝙮,5400000,548200,7800,7700,5400000
57,🐻🐻SECHITO🐻🐻,6500000,603400,2000,9500,6500000
58,Katya Ross,2800000,665300,5700,18100,2800000
59,vinnyguadagnino,5100000,629300,5900,7200,5100000
60,Lele Pons,12200000,1000000,1500,1700,12200000
61,Matt,3200000,812000,10900,4600,3200000
62,Rayssa Buq,4300000,775300,7900,4100,4300000
63,charlidamelio,5400000,804000,6900,1700,5400000
64,Pk,4800000,893300,3000,5600,4800000
65,Selena Gomez,5200000,804900,4200,4500,5200000
66,RANDOM MEMES,3800000,787700,2900,9000,3800000
67,Lexi Rivera,7600000,870600,3100,1800,7600000
68,bhadbhabie,5100000,899500,3000,4000,5100000
69,acpitos on ig 📸,5700000,858800,3500,3100,5700000
70,SofiaCarson,5700000,903500,3200,2900,5700000
71,YoungSwagon,5100000,752500,1400,6700,5100000
72,Montpantoja,6800000,1000000,2500,1900,6800000
73,Azzyland,5300000,774200,7000,462,5300000
74,soysuco,5400000,570500,8700,1100,5400000
75,Bella Poarch,7400000,677300,4900,1100,7400000
76,Max Taylor,3500000,572600,5200,9500,3500000
77,Jordan e Mel,4400000,436100,3000,12200,4400000
78,Hannah Stocking,7800000,840800,1600,2500,7800000
79,Xóchitl Gómez,7000000,1300000,26,2900,7000000
80,Ruben Tuesta,5500000,802300,1600,4400,5500000
81,Charlieee,12000000,470200,1700,2900,12000000
82,Kris HC,5400000,936600,3400,1500,5400000
83,Derek Lipp,3100000,440500,2500,15700,3100000
84,Jax,4100000,683500,5400,3200,4100000
85,Calfreezy,6500000,869100,1700,2400,6500000
86,loveofhuns x,3500000,382400,8300,8900,3500000
87,Liza Koshy,4900000,802800,2200,3600,4900000
88,Victor Melo,4500000,736700,2500,4200,4500000
89,Wisdom Kaye,4600000,874400,3500,2000,4600000
90,Q Park,5000000,415300,3900,6600,5000000
91,LIL G,4400000,521900,5500,4000,4400000
92,Dylan Mulvaney,3800000,730800,6600,1200,3800000
93,Hafiz Mahamad,3000000,325100,14400,7500,3000000
94,marcus_eni,2200000,198600,1300,46000,2200000
95,margo✨,6700000,868100,2400,1200,6700000
96,Dhar Mann,4200000,528100,6900,2400,4200000
97,Máté Méhész,3400000,588500,4400,5800,3400000
98,kaeli mae,5500000,733800,1500,3500,5500000
99,paralympics,5400000,467800,1800,6300,5400000
100,Янчик,4900000,660100,2700,3500,4900000
101,Connor DeWolfe,3000000,628400,1600,9000,3000000
102,NgebisOnline,3700000,498400,5900,4400,3700000
103,gustian_magrib,2900000,230500,1200,27700,2900000
104,音羽-otoha-,3400000,268000,9500,11200,3400000
105,Iván Lomeli Travel Blogger,2400000,188100,1200,39600,2400000
106,David Guetta,4400000,419900,4100,5900,4400000
107,Quỳnh Aka ✅,4700000,333200,4400,7300,4700000
108,Gianluca Vacchi,7700000,477100,2000,2800,7700000
109,ash,3400000,854700,4100,2000,3400000
110,💎☝️ عہبدالہرحہمن_احہمد☝️💎,8100000,337400,1300,5100,8100000
111,garett nolan,4200000,337100,2400,10000,4200000
112,Sturniolo’s,2800000,654200,7600,2000,2800000
113,juliano,6800000,625200,3000,1000,6800000
114,ᴊ⚡️,1600000,350900,27000,2500,1600000
115,Zodiac Boyfriend🪐🔮,2700000,444700,5200,8500,2700000
116,LIT killah🩸,3200000,428300,1300,10600,3200000
117,stickyboy69,1900000,478800,14600,3800,1900000
118,ShxtsNGigs Podcast,3600000,603100,1900,5600,3600000
119,Fael Alegria e Isaac Amendoim,5500000,321600,1300,7900,5500000
120,Thallysson Borges,3000000,450100,3800,8100,3000000
121,Sara,4500000,364900,6300,3100,4500000
122,Mia K.,5400000,610300,2500,2200,5400000
123,𝑄𝐴𝑀𝐴𝑅,3000000,298100,7000,9900,3000000
124,Sofyank96,4500000,565100,2500,3400,4500000
125,kika,2900000,516200,4000,6000,2900000
126,이시영,3500000,658800,3800,2800,3500000
127,JD Pantoja,4600000,751900,3500,799,4600000
128,nai,3400000,934200,2600,1900,3400000
129,Sassa Gurl,3500000,565300,3100,4100,3500000
130,bargainbethany,2200000,208700,1800,28300,2200000
131,Terry Reloaded,2300000,508700,2700,8700,2300000
132,Gordon Ramsay,6400000,488100,2200,2100,6400000
133,𝗟𝗮𝗿𝗶𝘀𝘀𝗮 𝗚𝗹𝗼𝗼𝗿,3100000,756800,3900,1800,3100000
134,General ock,3200000,426300,3100,6300,3200000
135,Weld Mimoune,3400000,298500,2800,9800,3400000
136,Iran Ferreira (Lai),4200000,571700,3700,1700,4200000
137,Brooke Monk,5900000,678900,1900,1400,5900000
138,Пардаев Алибек,3200000,183700,352,21300,3200000
139,عزيز | يزن,7000000,249200,1200,6100,7000000
140,Pimrypie,7700000,466300,2300,1200,7700000
141,Alan,3700000,636000,3500,1800,3700000
142,DAVID DOBRIK,4400000,440600,1700,4600,4400000
143,GetOnMyLvL,3400000,447500,3500,4400,3400000
144,Vinnie,3300000,487100,4600,2700,3300000
145,cellat36,5400000,307500,5200,1900,5400000
146,benji,3300000,643800,2200,3200,3300000
147,SEVENTEEN,1900000,595100,5300,4900,1900000
148,Natalia Hurtado de Mendoza,3500000,259600,928,11800,3500000
149,Logan Paul,4800000,976900,1400,1000,4800000
150,Andy Arthur Smith,3300000,564700,3300,2800,3300000
151,Logan Paul,4800000,976900,1400,1000,4800000
152,Andy Arthur Smith,3300000,564700,3300,2800,3300000
153,cauwave,2600000,396600,2700,8200,2600000
154,Nicolle Figueroa,5500000,766100,1800,882,5500000
155,Brooke Monk,5700000,620800,1800,1300,5700000
156,Old Time Hawkey,2900000,445500,4600,4000,2900000
157,مكس _Mix,4800000,481900,3200,1400,4800000
158,Joe Mele,5700000,848400,1200,1000,5700000
159,Lord Trunks,4200000,386900,3000,3600,4200000
160,Payton King,2600000,325000,4800,7600,2600000
