S.no,Tiktoker name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
432,tai.tl2,1900000,316900,1600,2500,1900000
433,vibin.wit.tay,1500000,295900,1200,4400,1500000
434,leleburnier,1600000,387600,2900,910,1600000
435,ae_ay__99,3200000,162000,1300,3200,3200000
436,maddzak,3300000,191000,3500,227,3300000
437,nianaguerrero,3100000,358500,1500,684,3100000
438,cardncyn,3900000,541900,801,318,3900000
439,soy_marcela4,2100000,336600,710,2600,2100000
440,cr.limit,2800000,189800,2400,1900,2800000
441,logfive,2100000,313500,1200,2300,2100000
442,katie34556,2200000,149100,7100,122,2200000
443,hesfinatia,4600000,434000,772,377,4600000
444,samdabaddest,1500000,369800,836,3300,1500000
445,palmertrolls,2000000,327800,884,2700,2000000
446,benorsini,2200000,293300,2800,718,2200000
447,vzelivx,2100000,271200,2600,1300,2100000
448,cassy.legaspi,3700000,369700,1000,590,3700000
449,kwo.owk,2000000,268200,2000,2200,2000000
450,abbieherbert,3700000,400700,917,581,3700000
451,lyricoo__,1300000,165700,1700,8600,1300000
452,mateus_hwang,1900000,136800,5800,2600,1900000
453,bswagggy,1200000,294600,1300,5100,1200000
454,talalionaire,2900000,195100,2000,1800,2900000
455,bigweirdworld,1100000,304200,2000,4500,1100000
456,yurielkysojeda,2200000,277300,1300,2300,2200000
457,cemresolmaz,2000000,137000,6200,1700,2000000
458,mrwhosetheboss,3800000,447500,964,300,3800000
459,kjsmoothh,1800000,254400,2900,1800,1800000
460,juaniquilador,2000000,364900,1800,1100,2000000
461,itsmenicksmithy,2200000,305500,1700,1400,2200000
462,khalidzain124,2600000,223900,1600,2000,2600000
463,colewherld,2900000,277100,977,1600,2900000
464,000072mr,2000000,283200,1200,2400,2000000
465,ksi,2500000,178600,4400,178,2500000
466,alexojeda,2600000,272600,802,2200,2600000
467,j3ipy_,1700000,354400,2300,1100,1700000
468,louuuyoung,872900,137900,4400,12600,872900
469,arafat.buffon,4300000,246700,460,1500,4300000
470,reem_alsawas,3900000,162300,1100,2100,3900000
471,ahmedksontini2,2100000,77000,0,12600,2100000
472,mostafa.ashraf14,2800000,268000,1200,1500,2800000
473,arigameplays,2800000,320700,1400,867,2800000
474,bela,2700000,390700,936,982,2700000
475,senaitalo,2100000,198800,1500,3300,2100000
476,kozuehayashii,2600000,466200,370,1300,2600000
477,elrodcontreras,2000000,254500,3500,413,2000000
478,kwechi_,1600000,283300,1500,2800,1600000
479,5ifvi,2400000,199000,410,3700,2400000
480,druskitv,1300000,241000,1300,4900,1300000
481,dearra,2500000,458400,792,923,2500000
482,briggi_bozzo,5200000,361900,787,245,5200000
483,flavinhalouise,3200000,167700,709,2800,3200000
484,pailita.k7k,1600000,257400,2700,2100,1600000
485,itskingchris,1600000,299700,2800,1300,1600000
486,mikaylanogueira,2200000,320300,2300,411,2200000
487,rdcworld1,1000000,227600,1200,6700,1000000
488,charlieputh,2000000,324800,1900,937,2000000
489,bikedasher,2500000,398000,1500,407,2500000
490,jonata_26,1900000,319600,646,2500,1900000
491,devincaherly,4000000,444900,894,147,4000000
492,basementgang,1400000,296000,1500,2900,1400000
493,soysaucer,2000000,272800,790,2700,2000000
